device_type,phase,op,node_id,duration
npu,decode,FFN_W1,L17_FFN_W1,0.0718003677865843
npu,decode,FFN_W1,L18_FFN_W1,0.0718003677865843
npu,decode,FFN_W1,L19_FFN_W1,0.0718003677865843
npu,decode,FFN_W1,L1_FFN_W1,0.0718222131199168
npu,decode,FFN_W1,L20_FFN_W1,0.0718003677865843
npu,decode,FFN_W1,L21_FFN_W1,0.0718003677865843
npu,decode,FFN_W1,L22_FFN_W1,0.0718003677865843
npu,decode,FFN_W1,L23_FFN_W1,0.0718003677865843
npu,decode,FFN_W1,L24_FFN_W1,0.0718003677865843
npu,decode,FFN_W1,L25_FFN_W1,0.0718003677865843
npu,decode,FFN_W1,L26_FFN_W1,0.0718003677865843
npu,decode,FFN_W1,L27_FFN_W1,0.0718003677865843
npu,decode,FFN_W1,L28_FFN_W1,0.0718003677865843
npu,decode,FFN_W1,L29_FFN_W1,0.0718003677865843
npu,decode,FFN_W1,L2_FFN_W1,0.0718222131199168
npu,decode,FFN_W1,L30_FFN_W1,0.0718003677865843
npu,decode,FFN_W1,L31_FFN_W1,0.0718003677865843
npu,decode,FFN_W1,L3_FFN_W1,0.0718222131199168
npu,decode,FFN_W1,L4_FFN_W1,0.0718222131199168
npu,decode,FFN_W1,L5_FFN_W1,0.0718222131199168
npu,decode,FFN_W1,L6_FFN_W1,0.0718222131199168
npu,decode,FFN_W1,L7_FFN_W1,0.0718222131199168
npu,decode,FFN_W1,L8_FFN_W1,0.0718222131199168
npu,decode,FFN_W1,L9_FFN_W1,0.0718222131199168
npu,decode,FFN_W2,L0_FFN_W2,0.012434308401033
npu,decode,FFN_W2,L10_FFN_W2,0.012434308401033
npu,decode,FFN_W2,L11_FFN_W2,0.012434308401033
npu,decode,FFN_W2,L12_FFN_W2,0.012434308401033
npu,decode,FFN_W2,L13_FFN_W2,0.012434308401033
npu,decode,FFN_W2,L14_FFN_W2,0.012434308401033
npu,decode,FFN_W2,L15_FFN_W2,0.012434308401033
npu,decode,FFN_W2,L16_FFN_W2,0.012434308401033
npu,decode,FFN_W2,L17_FFN_W2,0.012434308401033
npu,decode,FFN_W2,L18_FFN_W2,0.012434308401033
npu,decode,FFN_W2,L19_FFN_W2,0.012434308401033
npu,decode,FFN_W2,L1_FFN_W2,0.012434308401033
npu,decode,FFN_W2,L20_FFN_W2,0.012434308401033
npu,decode,FFN_W2,L21_FFN_W2,0.012434308401033
npu,decode,FFN_W2,L22_FFN_W2,0.012434308401033
npu,decode,FFN_W2,L23_FFN_W2,0.012434308401033
npu,decode,FFN_W2,L24_FFN_W2,0.012434308401033
npu,decode,FFN_W2,L25_FFN_W2,0.012434308401033
npu,decode,FFN_W2,L26_FFN_W2,0.012434308401033
npu,decode,FFN_W2,L27_FFN_W2,0.012434308401033
npu,decode,FFN_W2,L28_FFN_W2,0.012434308401033
npu,decode,FFN_W2,L29_FFN_W2,0.012434308401033
npu,decode,FFN_W2,L2_FFN_W2,0.012434308401033
npu,decode,FFN_W2,L30_FFN_W2,0.012434308401033
npu,decode,FFN_W2,L31_FFN_W2,0.012434308401033
npu,decode,FFN_W2,L3_FFN_W2,0.012434308401033
npu,decode,FFN_W2,L4_FFN_W2,0.012434308401033
npu,decode,FFN_W2,L5_FFN_W2,0.012434308401033
npu,decode,FFN_W2,L6_FFN_W2,0.012434308401033
npu,decode,FFN_W2,L7_FFN_W2,0.012434308401033
npu,decode,FFN_W2,L8_FFN_W2,0.012434308401033
npu,decode,FFN_W2,L9_FFN_W2,0.012434308401033
npu,decode,FFN_W3,L0_FFN_W3,0.011841948072883801
npu,decode,FFN_W3,L10_FFN_W3,0.011841948072883801
npu,decode,FFN_W3,L11_FFN_W3,0.011841948072883801
npu,decode,FFN_W3,L12_FFN_W3,0.011841948072883801
npu,decode,FFN_W3,L13_FFN_W3,0.011841948072883801
npu,decode,FFN_W3,L14_FFN_W3,0.011841948072883801
npu,decode,FFN_W3,L15_FFN_W3,0.011841948072883801
npu,decode,FFN_W3,L16_FFN_W3,0.011841948072883801
npu,decode,FFN_W3,L17_FFN_W3,0.011841948072883801
npu,decode,FFN_W3,L18_FFN_W3,0.011841948072883801
npu,decode,FFN_W3,L19_FFN_W3,0.011841948072883801
npu,decode,FFN_W3,L1_FFN_W3,0.011841948072883801
npu,decode,FFN_W3,L20_FFN_W3,0.011841948072883801
npu,decode,FFN_W3,L21_FFN_W3,0.011841948072883801
npu,decode,FFN_W3,L22_FFN_W3,0.011841948072883801
npu,decode,FFN_W3,L23_FFN_W3,0.011841948072883801
npu,decode,FFN_W3,L24_FFN_W3,0.011841948072883801
npu,decode,FFN_W3,L25_FFN_W3,0.011841948072883801
npu,decode,FFN_W3,L26_FFN_W3,0.011841948072883801
npu,decode,FFN_W3,L27_FFN_W3,0.011841948072883801
npu,decode,FFN_W3,L28_FFN_W3,0.011841948072883801
npu,decode,FFN_W3,L29_FFN_W3,0.011841948072883801
npu,decode,FFN_W3,L2_FFN_W3,0.011841948072883801
npu,decode,FFN_W3,L30_FFN_W3,0.011841948072883801
npu,decode,FFN_W3,L31_FFN_W3,0.011841948072883801
npu,decode,FFN_W3,L3_FFN_W3,0.011841948072883801
npu,decode,FFN_W3,L4_FFN_W3,0.011841948072883801
npu,decode,FFN_W3,L5_FFN_W3,0.011841948072883801
npu,decode,FFN_W3,L6_FFN_W3,0.011841948072883801
npu,decode,FFN_W3,L7_FFN_W3,0.011841948072883801
npu,decode,FFN_W3,L8_FFN_W3,0.011841948072883801
npu,decode,FFN_W3,L9_FFN_W3,0.011841948072883801
npu,decode,K,L0_K,0.0043952025015181004
npu,decode,K,L10_K,0.0043952025015181004
npu,decode,K,L11_K,0.0043952025015181004
npu,decode,K,L12_K,0.0043952025015181004
npu,decode,K,L13_K,0.0043952025015181004
npu,decode,K,L14_K,0.0043952025015181004
npu,decode,K,L15_K,0.0043952025015181004
npu,decode,K,L16_K,0.0043952025015181004
npu,decode,K,L17_K,0.0043952025015181004
npu,decode,K,L18_K,0.0043952025015181004
npu,decode,K,L19_K,0.0043952025015181004
npu,decode,K,L1_K,0.0043952025015181004
npu,decode,K,L20_K,0.0043952025015181004
npu,decode,K,L21_K,0.0043952025015181004
npu,decode,K,L22_K,0.0043952025015181004
npu,decode,K,L23_K,0.0043952025015181004
npu,decode,K,L24_K,0.0043952025015181004
npu,decode,K,L25_K,0.0043952025015181004
npu,decode,K,L26_K,0.0043952025015181004
npu,decode,K,L27_K,0.0043952025015181004
npu,decode,K,L28_K,0.0043952025015181004
npu,decode,K,L29_K,0.0043952025015181004
npu,decode,K,L2_K,0.0043952025015181004
npu,decode,K,L30_K,0.0043952025015181004
npu,decode,K,L31_K,0.0043952025015181004
npu,decode,K,L3_K,0.0043952025015181004
npu,decode,K,L4_K,0.0043952025015181004
npu,decode,K,L5_K,0.0043952025015181004
npu,decode,K,L6_K,0.0043952025015181004
npu,decode,K,L7_K,0.0043952025015181004
npu,decode,K,L8_K,0.0043952025015181004
npu,decode,K,L9_K,0.0043952025015181004
npu,decode,KV_read,L0_KV_read,0.017776640000020102
npu,decode,KV_read,L10_KV_read,0.017776640000020102
npu,decode,KV_read,L11_KV_read,0.017776640000020102
npu,decode,KV_read,L12_KV_read,0.017776640000020102
npu,decode,KV_read,L13_KV_read,0.017776640000020102
npu,decode,KV_read,L14_KV_read,0.017776640000020102
npu,decode,KV_read,L15_KV_read,0.017776640000020102
npu,decode,KV_read,L16_KV_read,0.017776640000020102
npu,decode,KV_read,L17_KV_read,0.017776640000020102
npu,decode,KV_read,L18_KV_read,0.017776640000020102
npu,decode,KV_read,L19_KV_read,0.017776640000020102
npu,decode,KV_read,L1_KV_read,0.017776640000020102
npu,decode,KV_read,L20_KV_read,0.017776640000020102
npu,decode,KV_read,L21_KV_read,0.017776640000020102
npu,decode,KV_read,L22_KV_read,0.017776640000020102
npu,decode,KV_read,L23_KV_read,0.017776640000020102
npu,decode,KV_read,L24_KV_read,0.017776640000020102
npu,decode,KV_read,L25_KV_read,0.017776640000020102
npu,decode,KV_read,L26_KV_read,0.017776640000020102
npu,decode,KV_read,L27_KV_read,0.017776640000020102
npu,decode,KV_read,L28_KV_read,0.017776640000020102
npu,decode,KV_read,L29_KV_read,0.017776640000020102
npu,decode,KV_read,L2_KV_read,0.017776640000020102
npu,decode,KV_read,L30_KV_read,0.017776640000020102
npu,decode,KV_read,L31_KV_read,0.017776640000020102
npu,decode,KV_read,L3_KV_read,0.017776640000020102
npu,decode,KV_read,L4_KV_read,0.017776640000020102
npu,decode,KV_read,L5_KV_read,0.017776640000020102
npu,decode,KV_read,L6_KV_read,0.017776640000020102
npu,decode,KV_read,L7_KV_read,0.017776640000020102
npu,decode,KV_read,L8_KV_read,0.017776640000020102
npu,decode,KV_read,L9_KV_read,0.017776640000020102
npu,decode,KV_write,L0_KV_write,0.017776640000020102
npu,decode,KV_write,L10_KV_write,0.0014848
npu,decode,KV_write,L11_KV_write,0.0149708800000209
npu,decode,KV_write,L12_KV_write,0.0014848
npu,decode,KV_write,L13_KV_write,0.0162918400000201
npu,decode,KV_write,L14_KV_write,0.0014848
npu,decode,KV_write,L15_KV_write,0.0149708800000209
npu,decode,KV_write,L16_KV_write,0.0014848
npu,decode,KV_write,L17_KV_write,0.0149708800000209
npu,decode,KV_write,L18_KV_write,0.0014848
npu,decode,KV_write,L19_KV_write,0.0162918400000201
npu,decode,KV_write,L20_KV_write,0.0014848
npu,decode,KV_write,L21_KV_write,0.0149708800000209
npu,decode,KV_write,L22_KV_write,0.0014848
npu,decode,KV_write,L23_KV_write,0.0149708800000209
npu,decode,KV_write,L24_KV_write,0.0014848
npu,decode,KV_write,L25_KV_write,0.0162918400000201
npu,decode,KV_write,L26_KV_write,0.0014848
npu,decode,KV_write,L27_KV_write,0.0149708800000209
npu,decode,KV_write,L28_KV_write,0.0014848
npu,decode,KV_write,L29_KV_write,0.0149708800000209
npu,decode,KV_write,L30_KV_write,0.0014848
npu,decode,KV_write,L31_KV_write,0.0149708800000209
npu,decode,KV_write,L3_KV_write,0.0149708800000209
npu,decode,KV_write,L4_KV_write,0.0014848
npu,decode,KV_write,L5_KV_write,0.0149708800000209
npu,decode,KV_write,L6_KV_write,0.0028057599999992003
npu,decode,KV_write,L7_KV_write,0.0149708800000209
npu,decode,KV_write,L8_KV_write,0.0014848
npu,decode,KV_write,L9_KV_write,0.0149708800000209
npu,decode,LN,L0_LN1,0.0001505459742025384
npu,decode,LN,L0_LN2,3.763649354482368e-05
npu,decode,LN,L10_LN2,7.527298713227992e-05
npu,decode,LN,L11_LN2,7.527298713227992e-05
npu,decode,LN,L12_LN2,7.527298713227992e-05
npu,decode,LN,L13_LN2,7.527298713227992e-05
npu,decode,LN,L14_LN2,7.527298713227992e-05
npu,decode,LN,L15_LN2,7.527298713227992e-05
npu,decode,LN,L16_LN2,7.527298713227992e-05
npu,decode,LN,L17_LN2,7.527298713227992e-05
npu,decode,LN,L18_LN2,7.527298713227992e-05
npu,decode,LN,L19_LN2,7.527298713227992e-05
npu,decode,LN,L1_LN2,7.527298713227992e-05
npu,decode,LN,L20_LN2,7.527298713227992e-05
npu,decode,LN,L21_LN2,7.527298713227992e-05
npu,decode,LN,L22_LN2,7.527298713227992e-05
npu,decode,LN,L23_LN2,7.527298713227992e-05
npu,decode,LN,L24_LN2,7.527298713227992e-05
npu,decode,LN,L25_LN2,7.527298713227992e-05
npu,decode,LN,L26_LN2,7.527298713227992e-05
npu,decode,LN,L27_LN2,7.527298713227992e-05
npu,decode,LN,L28_LN2,7.527298713227992e-05
npu,decode,LN,L29_LN2,7.527298713227992e-05
npu,decode,LN,L2_LN2,7.527298713227992e-05
npu,decode,LN,L30_LN2,7.527298713227992e-05
npu,decode,LN,L31_LN2,7.527298713227992e-05
npu,decode,LN,L3_LN2,7.527298713227992e-05
npu,decode,LN,L4_LN2,7.527298713227992e-05
npu,decode,LN,L5_LN2,7.527298713227992e-05
npu,decode,LN,L6_LN2,7.527298713227992e-05
npu,decode,LN,L7_LN2,7.527298713227992e-05
npu,decode,LN,L8_LN2,7.527298713227992e-05
npu,decode,LN,L9_LN2,7.527298713227992e-05
npu,decode,O,L0_O,0.0056047786601673
npu,decode,O,L10_O,0.0218774527870356
npu,decode,O,L11_O,0.0218774527870356
npu,decode,O,L12_O,0.0218774527870356
npu,decode,O,L13_O,0.0218774527870356
npu,decode,O,L14_O,0.0243749171135346
npu,decode,O,L15_O,0.0243749171135346
npu,decode,O,L16_O,0.0243749171135346
npu,decode,O,L17_O,0.0243749171135346
npu,decode,O,L18_O,0.0243749171135346
npu,decode,O,L19_O,0.0243749171135346
npu,decode,O,L1_O,0.0218774527870356
npu,decode,O,L20_O,0.0243749171135346
npu,decode,O,L21_O,0.0243749171135346
npu,decode,O,L22_O,0.0243749171135346
npu,decode,O,L23_O,0.0243749171135346
npu,decode,O,L24_O,0.0243749171135346
npu,decode,O,L25_O,0.0243749171135346
npu,decode,O,L26_O,0.0243749171135346
npu,decode,O,L27_O,0.0243749171135346
npu,decode,O,L28_O,0.0243749171135346
npu,decode,O,L29_O,0.0243749171135346
npu,decode,O,L2_O,0.0218774527870356
npu,decode,O,L30_O,0.0243749171135346
npu,decode,O,L31_O,0.0243749171135346
npu,decode,O,L3_O,0.0218774527870356
npu,decode,O,L4_O,0.0218774527870356
npu,decode,O,L5_O,0.0218774527870356
npu,decode,O,L6_O,0.0218774527870356
npu,decode,O,L7_O,0.0218774527870356
npu,decode,O,L8_O,0.0218774527870356
npu,decode,O,L9_O,0.0218774527870356
npu,decode,Q,L0_Q,0.026872381440035398
npu,decode,Q,L10_Q,0.0093901311545179
npu,decode,Q,L11_Q,0.0093901311545179
npu,decode,Q,L12_Q,0.0093901311545179
npu,decode,Q,L13_Q,0.0093901311545179
npu,decode,Q,L14_Q,0.0068926668280189
npu,decode,Q,L15_Q,0.0068926668280189
npu,decode,Q,L16_Q,0.0068926668280189
npu,decode,Q,L17_Q,0.0068926668280189
npu,decode,Q,L18_Q,0.0068926668280189
npu,decode,Q,L19_Q,0.0068926668280189
npu,decode,Q,L1_Q,0.0093901311545179
npu,decode,Q,L20_Q,0.0068926668280189
npu,decode,Q,L21_Q,0.0068926668280189
npu,decode,Q,L22_Q,0.0068926668280189
npu,decode,Q,L23_Q,0.0068926668280189
npu,decode,Q,L24_Q,0.0068926668280189
npu,decode,Q,L25_Q,0.0068926668280189
npu,decode,Q,L26_Q,0.0068926668280189
npu,decode,Q,L27_Q,0.0068926668280189
npu,decode,Q,L28_Q,0.0068926668280189
npu,decode,Q,L29_Q,0.0068926668280189
npu,decode,Q,L2_Q,0.0093901311545179
npu,decode,Q,L30_Q,0.0068926668280189
npu,decode,Q,L31_Q,0.0068926668280189
npu,decode,Q,L3_Q,0.0093901311545179
npu,decode,Q,L4_Q,0.0093901311545179
npu,decode,Q,L5_Q,0.0093901311545179
npu,decode,Q,L6_Q,0.0093901311545179
npu,decode,Q,L7_Q,0.0093901311545179
npu,decode,Q,L8_Q,0.0093901311545179
npu,decode,Q,L9_Q,0.0093901311545179
npu,decode,QK,L0_QK,0.0089574000000154
npu,decode,QK,L10_QK,0.0089574000000154
npu,decode,QK,L11_QK,0.0089574000000154
npu,decode,QK,L12_QK,0.0089574000000154
npu,decode,QK,L13_QK,0.0089574000000154
npu,decode,QK,L14_QK,0.0089574000000154
npu,decode,QK,L15_QK,0.0089574000000154
npu,decode,QK,L16_QK,0.0089574000000154
npu,decode,QK,L17_QK,0.0089574000000154
npu,decode,QK,L18_QK,0.0089574000000154
npu,decode,QK,L19_QK,0.0089574000000154
npu,decode,QK,L1_QK,0.0089574000000154
npu,decode,QK,L20_QK,0.0089574000000154
npu,decode,QK,L21_QK,0.0089574000000154
npu,decode,QK,L22_QK,0.0089574000000154
npu,decode,QK,L23_QK,0.0089574000000154
npu,decode,QK,L24_QK,0.0089574000000154
npu,decode,QK,L25_QK,0.0089574000000154
npu,decode,QK,L26_QK,0.0089574000000154
npu,decode,QK,L27_QK,0.0089574000000154
npu,decode,QK,L28_QK,0.0089574000000154
npu,decode,QK,L29_QK,0.0089574000000154
npu,decode,QK,L2_QK,0.0089574000000154
npu,decode,QK,L30_QK,0.0089574000000154
npu,decode,QK,L31_QK,0.0089574000000154
npu,decode,QK,L3_QK,0.0089574000000154
npu,decode,QK,L4_QK,0.0089574000000154
npu,decode,QK,L5_QK,0.0089574000000154
npu,decode,QK,L6_QK,0.0089574000000154
npu,decode,QK,L7_QK,0.0089574000000154
npu,decode,QK,L8_QK,0.0089574000000154
npu,decode,QK,L9_QK,0.0089574000000154
npu,decode,SV,L0_SV,0.0089574000000154
npu,decode,SV,L10_SV,0.00141376
npu,decode,SV,L11_SV,0.00141376
npu,decode,SV,L12_SV,0.00141376
npu,decode,SV,L13_SV,0.00141376
npu,decode,SV,L14_SV,0.0006655999999995
npu,decode,SV,L15_SV,0.0006655999999995
npu,decode,SV,L16_SV,0.0006655999999995
npu,decode,SV,L17_SV,0.0006655999999995
npu,decode,SV,L18_SV,0.0006655999999995
npu,decode,SV,L19_SV,0.0006655999999995
npu,decode,SV,L1_SV,0.00141376
npu,decode,SV,L20_SV,0.0006655999999995
npu,decode,SV,L21_SV,0.0006655999999995
npu,decode,SV,L22_SV,0.0006655999999995
npu,decode,SV,L23_SV,0.0006655999999995
npu,decode,SV,L24_SV,0.0006655999999995
npu,decode,SV,L25_SV,0.0006655999999995
npu,decode,SV,L26_SV,0.0006655999999995
npu,decode,SV,L27_SV,0.0006655999999995
npu,decode,SV,L28_SV,0.0006655999999995
npu,decode,SV,L29_SV,0.0006655999999995
npu,decode,SV,L2_SV,0.00141376
npu,decode,SV,L30_SV,0.0006655999999995
npu,decode,SV,L31_SV,0.0006655999999995
npu,decode,SV,L3_SV,0.00141376
npu,decode,SV,L4_SV,0.00141376
npu,decode,SV,L5_SV,0.00141376
npu,decode,SV,L6_SV,0.00141376
npu,decode,SV,L7_SV,0.00141376
npu,decode,SV,L8_SV,0.00141376
npu,decode,SV,L9_SV,0.00141376
npu,decode,SwiGLU,L0_Act,0.00037152000002826924
npu,decode,SwiGLU,L10_Act,0.00037152000002826924
npu,decode,SwiGLU,L11_Act,0.00037152000002826924
npu,decode,SwiGLU,L12_Act,0.00037152000002826924
npu,decode,SwiGLU,L13_Act,0.00037152000002826924
npu,decode,SwiGLU,L14_Act,0.00037152000002826924
npu,decode,SwiGLU,L15_Act,0.00037152000002826924
npu,decode,SwiGLU,L16_Act,0.00037152000002826924
npu,decode,SwiGLU,L17_Act,0.00037152000002826924
npu,decode,SwiGLU,L18_Act,0.00037152000002826924
npu,decode,SwiGLU,L19_Act,0.00037152000002826924
npu,decode,SwiGLU,L1_Act,0.00037152000002826924
npu,decode,SwiGLU,L20_Act,0.00037152000002826924
npu,decode,SwiGLU,L21_Act,0.00037152000002826924
npu,decode,SwiGLU,L22_Act,0.00037152000002826924
npu,decode,SwiGLU,L23_Act,0.00037152000002826924
npu,decode,SwiGLU,L24_Act,0.00037152000002826924
npu,decode,SwiGLU,L25_Act,0.00037152000002826924
npu,decode,SwiGLU,L26_Act,0.00037152000002826924
npu,decode,SwiGLU,L27_Act,0.00037152000002826924
npu,decode,SwiGLU,L28_Act,0.00037152000002826924
npu,decode,SwiGLU,L29_Act,0.00037152000002826924
npu,decode,SwiGLU,L2_Act,0.00037152000002826924
npu,decode,SwiGLU,L30_Act,0.00037152000002826924
npu,decode,SwiGLU,L31_Act,0.00037152000002826924
npu,decode,SwiGLU,L3_Act,0.00037152000002826924
npu,decode,SwiGLU,L4_Act,0.00037152000002826924
npu,decode,SwiGLU,L5_Act,0.00037152000002826924
npu,decode,SwiGLU,L6_Act,0.00037152000002826924
npu,decode,SwiGLU,L7_Act,0.00037152000002826924
npu,decode,SwiGLU,L8_Act,0.00037152000002826924
npu,decode,SwiGLU,L9_Act,0.00037152000002826924
npu,decode,V,L0_V,0.0043952025015181004
npu,decode,V,L10_V,0.0043952025015181004
npu,decode,V,L11_V,0.0043952025015181004
npu,decode,V,L12_V,0.0043952025015181004
npu,decode,V,L13_V,0.0043952025015181004
npu,decode,V,L14_V,0.0043952025015181004
npu,decode,V,L15_V,0.0043952025015181004
npu,decode,V,L16_V,0.0043952025015181004
npu,decode,V,L17_V,0.0043952025015181004
npu,decode,V,L18_V,0.0043952025015181004
npu,decode,V,L19_V,0.0043952025015181004
npu,decode,V,L1_V,0.0043952025015181004
npu,decode,V,L20_V,0.0043952025015181004
npu,decode,V,L21_V,0.0043952025015181004
npu,decode,V,L22_V,0.0043952025015181004
npu,decode,V,L23_V,0.0043952025015181004
npu,decode,V,L24_V,0.0043952025015181004
npu,decode,V,L25_V,0.0043952025015181004
npu,decode,V,L26_V,0.0043952025015181004
npu,decode,V,L27_V,0.0043952025015181004
npu,decode,V,L28_V,0.0043952025015181004
npu,decode,V,L29_V,0.0043952025015181004
npu,decode,V,L2_V,0.0043952025015181004
npu,decode,V,L30_V,0.0043952025015181004
npu,decode,V,L31_V,0.0043952025015181004
npu,decode,V,L3_V,0.0043952025015181004
npu,decode,V,L4_V,0.0043952025015181004
npu,decode,V,L5_V,0.0043952025015181004
npu,decode,V,L6_V,0.0043952025015181004
npu,decode,V,L7_V,0.0043952025015181004
npu,decode,V,L8_V,0.0043952025015181004
npu,decode,V,L9_V,0.0043952025015181004
npu,prefill,Add,L10_Add1,0.0019660799999998
npu,prefill,Add,L10_Add2,0.0019660799999998
npu,prefill,Add,L11_Add1,0.0019660799999998
npu,prefill,Add,L11_Add2,0.0019660799999998
npu,prefill,Add,L12_Add1,0.0019660799999998
npu,prefill,Add,L12_Add2,0.0019660799999998
npu,prefill,Add,L13_Add1,0.0019660799999998
npu,prefill,Add,L13_Add2,0.0019660799999998
npu,prefill,Add,L14_Add1,0.0019660799999998
npu,prefill,Add,L14_Add2,0.0019660799999998
npu,prefill,Add,L15_Add1,0.0019660799999998
npu,prefill,Add,L15_Add2,0.0019660799999998
npu,prefill,Add,L16_Add1,0.0019660799999998
npu,prefill,Add,L16_Add2,0.0019660799999998
npu,prefill,Add,L17_Add1,0.0019660799999998
npu,prefill,Add,L17_Add2,0.0019660799999998
npu,prefill,Add,L18_Add1,0.0019660799999998
npu,prefill,Add,L18_Add2,0.0019660799999998
npu,prefill,Add,L19_Add1,0.0019660799999998
npu,prefill,Add,L19_Add2,0.0019660799999998
npu,prefill,Add,L1_Add1,0.0019660799999999
npu,prefill,Add,L1_Add2,0.0019660799999999
npu,prefill,Add,L20_Add1,0.0019660799999998
npu,prefill,Add,L20_Add2,0.0019660799999998
npu,prefill,Add,L21_Add1,0.0019660799999998
npu,prefill,Add,L21_Add2,0.0019660799999998
npu,prefill,Add,L22_Add1,0.0019660799999998
npu,prefill,Add,L22_Add2,0.0019660799999998
npu,prefill,Add,L23_Add1,0.0019660799999998
npu,prefill,Add,L23_Add2,0.0019660799999998
npu,prefill,Add,L24_Add1,0.0019660799999998
npu,prefill,Add,L24_Add2,0.0019660799999998
npu,prefill,Add,L25_Add1,0.0019660799999998
npu,prefill,Add,L25_Add2,0.0019660799999998
npu,prefill,Add,L26_Add1,0.0019660799999998
npu,prefill,Add,L26_Add2,0.0019660799999998
npu,prefill,Add,L27_Add1,0.0019660799999998
npu,prefill,Add,L27_Add2,0.0019660799999998
npu,prefill,Add,L28_Add1,0.0019660799999998
npu,prefill,Add,L28_Add2,0.0019660799999998
npu,prefill,Add,L29_Add1,0.0019660799999998
npu,prefill,Add,L29_Add2,0.0019660799999998
npu,prefill,Add,L2_Add1,0.0019660799999999
npu,prefill,Add,L2_Add2,0.0019660799999999
npu,prefill,Add,L30_Add1,0.0019660799999998
npu,prefill,Add,L30_Add2,0.0019660800000007
npu,prefill,Add,L31_Add1,0.0019660800000007
npu,prefill,Add,L31_Add2,0.0019660800000007
npu,prefill,Add,L3_Add1,0.0019660799999999
