code,call_count,cycles,running_time(us)
/root/TriForm/measurements/ascendc/layernorm_v2/kernel_launch_method_by_direct/../kernel_impl/layernorm_custom.h:109,8,257,0.000000
/root/TriForm/measurements/ascendc/layernorm_v2/kernel_launch_method_by_direct/../kernel_impl/layernorm_custom.h:110,7,256,0.010000
/root/TriForm/measurements/ascendc/layernorm_v2/kernel_launch_method_by_direct/../kernel_impl/layernorm_custom.h:111,2,247,0.000000
/root/TriForm/measurements/ascendc/layernorm_v2/kernel_launch_method_by_direct/../kernel_impl/layernorm_custom.h:74,17,221,0.010000
/root/TriForm/measurements/ascendc/layernorm_v2/kernel_launch_method_by_direct/../kernel_impl/layernorm_custom.h:75,14,210,0.010000
/root/TriForm/measurements/ascendc/layernorm_v2/kernel_launch_method_by_direct/../kernel_impl/layernorm_custom.h:95,20,205,0.010000
/root/TriForm/measurements/ascendc/layernorm_v2/kernel_launch_method_by_direct/../kernel_impl/layernorm_custom.h:92,5,205,0.000000
/root/TriForm/measurements/ascendc/layernorm_v2/kernel_launch_method_by_direct/../kernel_impl/layernorm_custom.h:85,24,203,0.020000
/root/TriForm/measurements/ascendc/layernorm_v2/kernel_launch_method_by_direct/../kernel_impl/layernorm_custom.h:80,17,185,0.010000
/root/TriForm/measurements/ascendc/layernorm_v2/kernel_launch_method_by_direct/../kernel_impl/layernorm_custom.h:97,17,183,0.020000
/root/TriForm/measurements/ascendc/layernorm_v2/kernel_launch_method_by_direct/../kernel_impl/layernorm_custom.h:99,13,169,0.010000
/root/TriForm/measurements/ascendc/layernorm_v2/kernel_launch_method_by_direct/../kernel_impl/layernorm_custom.h:101,13,158,0.010000
/root/TriForm/measurements/ascendc/layernorm_v2/kernel_launch_method_by_direct/../kernel_impl/layernorm_custom.h:81,21,156,0.010000
/root/TriForm/measurements/ascendc/layernorm_v2/kernel_launch_method_by_direct/../kernel_impl/layernorm_custom.h:107,22,156,0.010000
/root/TriForm/measurements/ascendc/layernorm_v2/kernel_launch_method_by_direct/../kernel_impl/layernorm_custom.h:106,22,156,0.010000
/root/TriForm/measurements/ascendc/layernorm_v2/kernel_launch_method_by_direct/../kernel_impl/layernorm_custom.h:66,22,153,0.010000
/root/TriForm/measurements/ascendc/layernorm_v2/kernel_launch_method_by_direct/../kernel_impl/layernorm_custom.h:68,20,145,0.010000
/root/TriForm/measurements/ascendc/layernorm_v2/kernel_launch_method_by_direct/../kernel_impl/layernorm_custom.h:76,12,137,0.010000
/root/TriForm/measurements/ascendc/layernorm_v2/kernel_launch_method_by_direct/../kernel_impl/layernorm_custom.h:100,13,136,0.010000
/root/TriForm/measurements/ascendc/layernorm_v2/kernel_launch_method_by_direct/../kernel_impl/layernorm_custom.h:96,17,135,0.010000
/root/TriForm/measurements/ascendc/layernorm_v2/kernel_launch_method_by_direct/../kernel_impl/layernorm_custom.h:67,22,129,0.010000
/root/TriForm/measurements/ascendc/layernorm_v2/kernel_launch_method_by_direct/../kernel_impl/layernorm_custom.h:47,7,95,0.000000
/root/TriForm/measurements/ascendc/layernorm_v2/kernel_launch_method_by_direct/../kernel_impl/layernorm_custom.h:43,3,78,0.000000
/root/TriForm/measurements/ascendc/layernorm_v2/kernel_launch_method_by_direct/../kernel_impl/layernorm_custom.h:46,5,78,0.000000
/root/TriForm/measurements/ascendc/layernorm_v2/kernel_launch_method_by_direct/../kernel_impl/layernorm_custom.h:41,4,76,0.000000
/root/TriForm/measurements/ascendc/layernorm_v2/kernel_launch_method_by_direct/../kernel_impl/layernorm_custom.h:0,6,42,0.020000
/root/TriForm/measurements/ascendc/layernorm_v2/kernel_launch_method_by_direct/../kernel_impl/layernorm_custom.h:35,2,38,0.000000
/root/TriForm/measurements/ascendc/layernorm_v2/kernel_launch_method_by_direct/../kernel_impl/layernorm_custom.h:37,1,36,0.000000
/root/TriForm/measurements/ascendc/layernorm_v2/kernel_launch_method_by_direct/../kernel_impl/layernorm_custom.h:39,3,15,0.000000
/root/TriForm/measurements/ascendc/layernorm_v2/kernel_launch_method_by_direct/../kernel_impl/layernorm_custom.h:36,1,7,0.000000
